,toid,mean_depth,p90ile_depth,Class,Area
197,osgb197,0.037,0.131,A) Low,950
198,osgb198,0.148,0.341,C) High,350
199,osgb199,0.007,0.005,A) Low,350
200,osgb200,0.058,0.191,A) Low,187
201,osgb201,0.009,0.02,A) Low,200
202,osgb202,0.003,0.007,A) Low,200
203,osgb203,0.032,0.098,A) Low,200
204,osgb204,0.008,0.014,A) Low,200
205,osgb205,0.026,0.031,A) Low,200
206,osgb206,0.165,0.276,B) Medium,200
207,osgb207,0.025,0.037,A) Low,375
208,osgb208,0.014,0.03,A) Low,375
209,osgb209,0.185,0.258,B) Medium,200
210,osgb210,0.005,0.005,A) Low,125
211,osgb211,0.003,0.003,A) Low,125
212,osgb212,0.002,0.005,A) Low,125
213,osgb213,0.016,0.037,A) Low,200
214,osgb214,0.004,0.005,A) Low,125
215,osgb215,0.096,0.311,B) Medium,37
216,osgb216,0.005,0.012,A) Low,125
217,osgb217,0.012,0.036,A) Low,1050
218,osgb218,0.003,0.004,A) Low,1050
219,osgb219,0.003,0.005,A) Low,200
220,osgb220,0.032,0.107,A) Low,200
221,osgb221,0.024,0.028,A) Low,200
222,osgb222,0.021,0.026,A) Low,200
223,osgb223,0.003,0.004,A) Low,200
224,osgb224,0.003,0.004,A) Low,200
225,osgb225,0.014,0.019,A) Low,200
226,osgb226,0.007,0.01,A) Low,200
227,osgb227,0.006,0.011,A) Low,125
228,osgb228,0.003,0.004,A) Low,125
229,osgb229,0.006,0.009,A) Low,125
230,osgb230,0.003,0.005,A) Low,125
231,osgb231,0.002,0.004,A) Low,37
232,osgb232,0.003,0.005,A) Low,125
233,osgb233,0.002,0.004,A) Low,200
234,osgb234,0.004,0.007,A) Low,200
235,osgb235,0.008,0.012,A) Low,125
236,osgb236,0.004,0.006,A) Low,200
237,osgb237,0.003,0.005,A) Low,200
238,osgb238,0.066,0.279,A) Low,950
239,osgb239,0.008,0.014,A) Low,200
240,osgb240,0.01,0.015,A) Low,200
241,osgb241,0.038,0.072,A) Low,125
242,osgb242,0.007,0.02,A) Low,125
243,osgb243,0.005,0.008,A) Low,950
244,osgb244,0.003,0.005,A) Low,200
245,osgb245,0.003,0.004,A) Low,200
246,osgb246,0.037,0.043,A) Low,125
247,osgb247,0.108,0.305,C) High,37
248,osgb248,0.007,0.007,A) Low,125
249,osgb249,0.009,0.016,A) Low,125
250,osgb250,0.003,0.003,A) Low,200
251,osgb251,0.053,0.073,A) Low,125
252,osgb252,0.005,0.015,A) Low,125
253,osgb253,0.007,0.009,A) Low,200
254,osgb254,0.057,0.195,A) Low,125
255,osgb255,0.004,0.006,A) Low,37
256,osgb256,0.014,0.025,A) Low,125
257,osgb257,0.015,0.029,A) Low,200
258,osgb258,0.029,0.054,A) Low,200
259,osgb259,0.004,0.005,A) Low,200
260,osgb260,0.004,0.005,A) Low,200
261,osgb261,0.006,0.012,A) Low,1050
262,osgb262,0.018,0.035,A) Low,200
263,osgb263,0.002,0.003,A) Low,200
264,osgb264,0.005,0.007,A) Low,350
265,osgb265,0.007,0.013,A) Low,350
266,osgb266,0.039,0.068,A) Low,200
267,osgb267,0.005,0.005,A) Low,200
268,osgb268,0.014,0.027,A) Low,200
269,osgb269,0.006,0.009,A) Low,375
270,osgb270,0.016,0.027,A) Low,200
271,osgb271,0.032,0.062,A) Low,200
272,osgb272,0.005,0.005,A) Low,200
273,osgb273,0.003,0.005,A) Low,200
274,osgb274,0.017,0.029,A) Low,200
275,osgb275,0.004,0.006,A) Low,200
276,osgb276,0.007,0.01,A) Low,375
277,osgb277,0.008,0.011,A) Low,375
278,osgb278,0.012,0.017,A) Low,375
279,osgb279,0.015,0.022,A) Low,200
280,osgb280,0.026,0.048,A) Low,200
281,osgb281,0.037,0.053,A) Low,200
282,osgb282,0.006,0.006,A) Low,200
283,osgb283,0.005,0.009,A) Low,200
284,osgb284,0.009,0.013,A) Low,200
285,osgb285,0.017,0.021,A) Low,200
286,osgb286,0.012,0.02,A) Low,200
287,osgb287,0.01,0.023,A) Low,200
288,osgb288,0.029,0.075,A) Low,950
289,osgb289,0.015,0.026,A) Low,350
290,osgb290,0.008,0.012,A) Low,350
291,osgb291,0.015,0.028,A) Low,200
